"""Main Muscle Worked""","""Level""","""pic_right""","""Mechanics Type""","""Equipment""","""Type""","""name""","""Other Muscles"""
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/755/Male/l/755_1.jpg,Compound,Barbell,Olympic Weightlifting,Split Clean,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Shoulders, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/719/Male/l/719_1.jpg,Compound,Barbell,Olympic Weightlifting,Split Jerk,"Glutes, Hamstrings, Shoulders, Triceps"
Hamstrings,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/720/Male/l/720_1.jpg,Compound,Barbell,Olympic Weightlifting,Split Snatch,"Calves, Forearms, Glutes, Hamstrings, Lower Back, Quadriceps, Shoulders, Traps, Triceps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/l/744_1.jpg,Compound,Barbell,Olympic Weightlifting,Wide Stance Stiff Legs,"Adductors, Glutes, Lower Back"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/760/Male/l/760_1.jpg,Compound,None,Plyometrics,Alternate Leg Diagonal Bound,"Abductors, Adductors, Calves, Glutes, Hamstrings"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/764/Male/l/764_1.jpg,Compound,Medicine Ball,Plyometrics,Backward Medicine Ball Throw,
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1891/Male/l/1891_1.jpg,Compound,Body Only,Plyometrics,Bench Jump,"Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1901/Male/l/1901_1.jpg,Compound,Other,Plyometrics,Bench Sprint,"Calves, Glutes, Hamstrings"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/766/Male/l/766_1.jpg,Compound,Other,Plyometrics,Box Jump (Multiple Response),"Abductors, Adductors, Calves, Glutes, Quadriceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/767/Male/l/767_1.jpg,Compound,Other,Plyometrics,Box Skip,"Abductors, Adductors, Calves, Glutes, Quadriceps"
Adductors,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/961/Male/l/961_1.jpg,N/A,None,Plyometrics,Carioca Quick Step,"Abdominals, Abductors, Calves, Glutes, Hamstrings, Quadriceps"
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/768/Male/l/768_1.jpg,Compound,Medicine Ball,Plyometrics,Catch and Overhead Throw,"Abdominals, Chest, Shoulders"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/769/Male/l/769_1.jpg,Compound,Medicine Ball,Plyometrics,Chest Push (multiple response),"Abdominals, Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/770/Male/l/770_1.jpg,Compound,Medicine Ball,Plyometrics,Chest Push (single response),"Abdominals, Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/771/Male/l/771_1.jpg,Compound,Medicine Ball,Plyometrics,Chest Push from 3 point stance,"Abdominals, Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/772/Male/l/772_1.jpg,Compound,Medicine Ball,Plyometrics,Chest Push with Run Release,"Abdominals, Shoulders, Triceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/775/Male/l/775_1.jpg,Compound,Other,Plyometrics,Depth Jump Leap,"Abductors, Adductors, Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/l/778_1.jpg,Compound,Body Only,Plyometrics,Double Leg Butt Kick,"Abductors, Adductors, Calves, Glutes, Hamstrings"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/l/779_1.jpg,Compound,Other,Plyometrics,Drop Push,"Shoulders, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1151/Male/l/1151_1.jpg,Compound,Dumbbell,Plyometrics,Dumbbell Seated Box Jump,"Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/780/Male/l/780_1.jpg,Compound,Body Only,Plyometrics,Fast Skipping,"Abductors, Adductors, Calves, Glutes, Hamstrings"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/782/Male/l/782_1.jpg,Compound,Other,Plyometrics,Front Box Jump,"Abductors, Adductors, Calves, Glutes, Quadriceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/783/Male/l/783_1.jpg,Compound,Other,Plyometrics,Front Cone Hops (or hurdle hops),"Abductors, Adductors, Calves, Glutes, Hamstrings"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/786/Male/l/786_1.jpg,Compound,Other,Plyometrics,Heavy Bag Thrust,"Abdominals, Shoulders, Triceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/788/Male/l/788_1.jpg,Compound,Other,Plyometrics,Hurdle Hops,"Abductors, Adductors, Calves, Glutes, Hamstrings"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/789/Male/l/789_1.jpg,Compound,Other,Plyometrics,Incline Push-Up Depth Jump,"Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/92/Male/l/92_1.jpg,Compound,Body Only,Plyometrics,Isometric Chest Squeezes,"Shoulders, Triceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/793/Male/l/793_1.jpg,Compound,Body Only,Plyometrics,Knee Tuck Jump,"Abductors, Adductors, Calves, Glutes, Quadriceps"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1021/Male/l/1021_1.jpg,N/A,None,Plyometrics,Kneeling Arm Drill,Abdominals
Adductors,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/794/Male/l/794_1.jpg,Compound,Body Only,Plyometrics,Lateral Bound,"Abductors, Calves, Glutes, Hamstrings, Quadriceps"
Adductors,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/795/Male/l/795_1.jpg,Compound,Other,Plyometrics,Lateral Box Jump,"Abductors, Calves, Glutes, Hamstrings, Quadriceps"
Adductors,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/796/Male/l/796_1.jpg,Compound,Other,Plyometrics,Lateral Cone Hops,"Abductors, Calves, Glutes, Hamstrings, Quadriceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1031/Male/l/1031_1.jpg,Compound,None,Plyometrics,Linear 3-Part Start Technique,"Calves, Quadriceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/951/Male/l/951_1.jpg,Compound,None,Plyometrics,Linear Acceleration Wall Drill,"Calves, Glutes, Quadriceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1141/Male/l/1141_1.jpg,Compound,Other,Plyometrics,Linear Depth Jump,"Calves, Glutes, Hamstrings"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/801/Male/l/801_1.jpg,Compound,Medicine Ball,Plyometrics,Medicine Ball Chest Pass,"Shoulders, Triceps"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/802/Male/l/802_1.jpg,Compound,Medicine Ball,Plyometrics,Medicine Ball Full Twist,Shoulders
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/805/Male/l/805_1.jpg,Compound,Medicine Ball,Plyometrics,Medicine Ball Scoop Throw,"Abdominals, Hamstrings, Quadriceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/608/Male/l/608_1.jpg,Compound,None,Plyometrics,Mountain Climbers,"Chest, Hamstrings, Shoulders"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1041/Male/l/1041_1.jpg,Compound,None,Plyometrics,Moving Claw Series,"Calves, Quadriceps"
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/905/Male/l/905_1.jpg,Compound,Medicine Ball,Plyometrics,Overhead Slam,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/910/Male/l/910_1.jpg,Compound,Body Only,Plyometrics,Plyo Push-up,"Shoulders, Triceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/810/Male/l/810_1.jpg,Compound,Other,Plyometrics,Quick Leap,"Calves, Hamstrings"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/811/Male/l/811_1.jpg,Compound,Medicine Ball,Plyometrics,Return Push from Stance,"Chest, Triceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/812/Male/l/812_1.jpg,Compound,Body Only,Plyometrics,Rocket Jump,"Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/813/Male/l/813_1.jpg,Compound,Body Only,Plyometrics,Scissors Jump,"Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/816/Male/l/816_1.jpg,Compound,Other,Plyometrics,Side Hop-Sprint,"Abductors, Adductors, Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/971/Male/l/971_1.jpg,Compound,None,Plyometrics,Side Standing Long Jump,"Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/817/Male/l/817_1.jpg,Compound,Other,Plyometrics,Side to Side Box Shuffle,"Abductors, Adductors, Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/819/Male/l/819_1.jpg,Compound,Body Only,Plyometrics,Single Leg Butt Kick,"Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/l/818_1.jpg,Compound,Other,Plyometrics,Single Leg Push-off,"Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/981/Male/l/981_1.jpg,N/A,Other,Plyometrics,Single-Cone Sprint Drill,"Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/821/Male/l/821_1.jpg,Compound,Other,Plyometrics,Single-Leg Hop Progression,"Abductors, Adductors, Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/822/Male/l/822_1.jpg,Compound,Other,Plyometrics,Single-Leg Lateral Hop,"Abductors, Adductors, Calves, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/824/Male/l/824_1.jpg,Compound,Other,Plyometrics,Single-Leg Stride Jump,"Abductors, Adductors, Calves, Hamstrings"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/916/Male/l/916_1.jpg,Compound,Other,Plyometrics,Sledgehammer Swings,"Calves, Forearms, Lats, Middle Back, Shoulders"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/826/Male/l/826_1.jpg,Compound,Body Only,Plyometrics,Split Jump,"Calves, Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/831/Male/l/831_1.jpg,Compound,Body Only,Plyometrics,Standing Long Jump,"Calves, Glutes, Hamstrings"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/834/Male/l/834_1.jpg,Compound,Medicine Ball,Plyometrics,Standing Two-Arm Overhead Throw,"Chest, Lats"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/835/Male/l/835_1.jpg,Compound,Body Only,Plyometrics,Star Jump,"Calves, Glutes, Hamstrings, Shoulders"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/837/Male/l/837_1.jpg,Compound,Other,Plyometrics,Stride Jump Crossover,"Abductors, Adductors, Calves, Hamstrings"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/838/Male/l/838_1.jpg,Compound,Medicine Ball,Plyometrics,Supine Chest Throw,"Chest, Shoulders"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/839/Male/l/839_1.jpg,Compound,Medicine Ball,Plyometrics,Supine One-Arm Overhead Throw,"Chest, Lats, Shoulders"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/840/Male/l/840_1.jpg,Compound,Medicine Ball,Plyometrics,Supine Two-Arm Overhead Throw,"Chest, Lats, Shoulders"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/842/Male/l/842_1.jpg,Compound,Dumbbell,Plyometrics,Vertical Swing,"Glutes, Quadriceps, Shoulders"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/729/Male/l/729_1.jpg,Compound,Bands,Powerlifting,Band Good Morning,"Glutes, Lower Back"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/740/Male/l/740_1.jpg,Compound,Bands,Powerlifting,Band Good Morning (Pull Through),"Glutes, Lower Back"
Glutes,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/662/Male/l/662_1.jpg,Compound,Barbell,Powerlifting,Barbell Glute Bridge,"Calves, Hamstrings"
Glutes,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/661/Male/l/661_1.jpg,Compound,Barbell,Powerlifting,Barbell Hip Thrust,"Calves, Hamstrings"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/l/663_1.jpg,Compound,Barbell,Powerlifting,Bench Press - Powerlifting,"Chest, Forearms, Lats, Shoulders"
Triceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/732/Male/l/732_1.jpg,Compound,Barbell,Powerlifting,Bench Press with Chains,"Chest, Lats, Shoulders"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/664/Male/l/664_1.jpg,Compound,Barbell,Powerlifting,Board Press,"Chest, Forearms, Lats, Shoulders"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/665/Male/l/665_1.jpg,Compound,Barbell,Powerlifting,Box Squat,"Adductors, Calves, Glutes, Hamstrings, Lower Back"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/l/666_1.jpg,Compound,Barbell,Powerlifting,Box Squat with Bands,"Abductors, Adductors, Calves, Glutes, Hamstrings, Lower Back"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/733/Male/l/733_1.jpg,Isolation,Other,Powerlifting,Chain Handle Extension,
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/734/Male/l/734_1.jpg,Compound,Other,Powerlifting,Chain Press,"Shoulders, Triceps"
Lower Back,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/l/677_1.jpg,Compound,Barbell,Powerlifting,Deadlift with Bands,"Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Lower Back,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/678/Male/l/678_1.jpg,Compound,Barbell,Powerlifting,Deadlift with Chains,"Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Lower Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/679/Male/l/679_1.jpg,Compound,Barbell,Powerlifting,Deficit Deadlift,"Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Traps"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/680/Male/l/680_1.jpg,Compound,Dumbbell,Powerlifting,Dumbbell Floor Press,"Chest, Shoulders"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/683/Male/l/683_1.jpg,Compound,Barbell,Powerlifting,Floor Press,"Chest, Shoulders"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/735/Male/l/735_1.jpg,Compound,Barbell,Powerlifting,Floor Press with Chains,"Chest, Shoulders"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/685/Male/l/685_1.jpg,Compound,Machine,Powerlifting,Glute Ham Raise,"Calves, Glutes"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/686/Male/l/686_1.jpg,Compound,Barbell,Powerlifting,Good Morning,"Abdominals, Glutes, Lower Back"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/687/Male/l/687_1.jpg,Compound,Barbell,Powerlifting,Good Morning off Pins,"Abdominals, Glutes, Lower Back"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/692/Male/l/692_1.jpg,Compound,Barbell,Powerlifting,Hanging Bar Good Morning,"Abdominals, Glutes, Lower Back"
Glutes,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/738/Male/l/738_1.jpg,Compound,Bands,Powerlifting,Hip Lift with Band,"Calves, Hamstrings"
Glutes,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/l/697_1.jpg,Compound,Barbell,Powerlifting,Kneeling Squat,"Abdominals, Hamstrings, Lower Back"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/701/Male/l/701_1.jpg,Compound,Barbell,Powerlifting,Pin Presses,"Chest, Forearms, Lats, Middle Back, Shoulders"
Lower Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/l/741_1.jpg,Compound,Barbell,Powerlifting,Rack Pull with Bands,"Forearms, Glutes, Hamstrings, Quadriceps, Traps"
Lower Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/710/Male/l/710_1.jpg,Compound,Barbell,Powerlifting,Rack Pulls,"Forearms, Glutes, Hamstrings, Traps"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/752/Male/l/752_1.jpg,Compound,Barbell,Powerlifting,Reverse Band Bench Press,"Chest, Forearms, Lats, Middle Back, Shoulders"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/l/753_1.jpg,Compound,Barbell,Powerlifting,Reverse Band Box Squat,"Abductors, Adductors, Calves, Forearms, Glutes, Hamstrings, Lower Back"
Lower Back,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/756/Male/l/756_1.jpg,Compound,Barbell,Powerlifting,Reverse Band Deadlift,"Abductors, Adductors, Calves, Glutes, Hamstrings, Quadriceps"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/757/Male/l/757_1.jpg,Compound,Barbell,Powerlifting,Reverse Band Power Squat,"Adductors, Calves, Glutes, Hamstrings, Lower Back"
Hamstrings,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/758/Male/l/758_1.jpg,Compound,Barbell,Powerlifting,Reverse Band Sumo Deadlift,"Abductors, Adductors, Calves, Forearms, Glutes, Lower Back, Quadriceps, Traps"
Lower Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/712/Male/l/712_1.jpg,Compound,Barbell,Powerlifting,Seated Good Mornings,Glutes
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1241/Male/l/1241_1.jpg,Compound,Barbell,Powerlifting,Speed Box Squat,"Calves, Glutes, Hamstrings"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/704/Male/l/704_1.jpg,Compound,Barbell,Powerlifting,Squat with Bands,"Adductors, Calves, Glutes, Hamstrings, Lower Back"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/l/705_1.jpg,Compound,Barbell,Powerlifting,Squat with Chains,"Adductors, Calves, Glutes, Hamstrings, Lower Back"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/722/Male/l/722_1.jpg,Compound,Barbell,Powerlifting,Sumo Deadlift,"Adductors, Forearms, Glutes, Lower Back, Middle Back, Quadriceps, Traps"
